               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1194,            0.046557,                   0,            0.003879,             0.14286,           0.0033412,           0.0008629,             0.11226,            0.030132,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11509,            0.045569,                   0,           0.0041667,             0.20408,           0.0027302,          0.00096728,             0.10735,            0.028458,                   0,            0.093686,          0.00068614,          0.00068614
                   2,             0.11279,             0.04937,                   0,           0.0036667,             0.44898,           0.0038971,           0.0010042,             0.10068,            0.026875,                   0,            0.090056,           0.0010564,           0.0010564
                   3,             0.10938,            0.046293,                   0,           0.0048333,             0.59184,           0.0052546,           0.0015186,            0.095074,            0.025427,                   0,            0.086411,           0.0014109,           0.0014109
                   4,             0.10163,             0.05301,                   0,           0.0051667,             0.63265,           0.0069183,           0.0019025,            0.092128,            0.024685,                   0,             0.08275,           0.0017495,           0.0017495
                   5,             0.10152,            0.047982,                   0,           0.0056667,             0.69388,           0.0084587,           0.0021993,            0.089198,             0.02413,                   0,            0.079072,           0.0020723,           0.0020723
                   6,            0.098377,            0.054503,                   0,            0.033902,            0.061224,            0.015698,           0.0033233,            0.087055,            0.023766,                   0,            0.075379,           0.0023792,           0.0023792
                   7,            0.097168,            0.050817,                   0,               0.119,            0.061224,            0.036648,           0.0095281,            0.085351,            0.023409,                   0,             0.07167,           0.0026703,           0.0026703
                   8,            0.095474,            0.056659,                   0,             0.19585,            0.040816,            0.060957,            0.012076,            0.084772,            0.022787,                   0,            0.067946,           0.0029456,           0.0029456
                   9,            0.088446,            0.052019,                   0,            0.089344,            0.081633,            0.056383,            0.017976,            0.084877,            0.022249,                   0,            0.064205,            0.003205,            0.003205
                  10,            0.087352,            0.064687,                   0,            0.095637,             0.14286,            0.048769,            0.014529,            0.085326,            0.021761,                   0,            0.060449,           0.0034486,           0.0034486
                  11,            0.086159,             0.05683,                   0,             0.13596,             0.16327,            0.084767,            0.018402,            0.085452,            0.021345,                   0,            0.056676,           0.0036763,           0.0036763
                  12,            0.082552,            0.051137,                   0,             0.11405,             0.20408,            0.094995,             0.02924,             0.08393,            0.021069,                   0,            0.052888,           0.0038882,           0.0038882
                  13,            0.085047,            0.059693,                   0,             0.15811,             0.20408,             0.13031,             0.03299,            0.081246,            0.021622,                   0,            0.049084,           0.0040843,           0.0040843
                  14,            0.081583,            0.054456,                   0,             0.24072,              0.2071,             0.13183,            0.033287,            0.080208,            0.022339,                   0,            0.045265,           0.0042645,           0.0042645
                  15,            0.080773,            0.055922,                   0,              0.1212,             0.14286,            0.064609,            0.015424,            0.078473,            0.024902,                   0,            0.041429,           0.0044289,           0.0044289
                  16,            0.075158,            0.041571,                   0,             0.12165,             0.14286,            0.052467,             0.01158,            0.081124,            0.025759,                   0,            0.037577,           0.0045774,           0.0045774
                  17,             0.07906,            0.051665,                   0,              0.1232,             0.22449,            0.063249,            0.013813,             0.07826,            0.027637,                   0,             0.03371,           0.0047101,           0.0047101
                  18,            0.077898,            0.052685,                   0,             0.31167,             0.12245,            0.098698,            0.030194,            0.078816,            0.028538,                   0,            0.029827,            0.004827,            0.004827
                  19,            0.075381,            0.053531,                   0,             0.22767,             0.26531,             0.17919,            0.045376,            0.074896,            0.029751,                   0,            0.025928,            0.004928,            0.004928
                  20,            0.074544,            0.054536,                   0,             0.15423,             0.22449,             0.12677,            0.038733,            0.071901,            0.032631,                   0,            0.022013,           0.0050132,           0.0050132
                  21,            0.074037,            0.054628,                   0,              0.5034,             0.20408,             0.26039,            0.066815,            0.074797,            0.035101,                   0,            0.018083,           0.0050825,           0.0050825
                  22,            0.071362,            0.046803,                   0,             0.12077,              0.2449,            0.079848,            0.024961,            0.077482,             0.03418,                   0,            0.014136,            0.005136,            0.005136
                  23,             0.07446,            0.048677,                   0,             0.34777,             0.20408,             0.16861,            0.046634,            0.071442,            0.032364,                   0,            0.010174,           0.0051737,           0.0051737
                  24,            0.072452,            0.052725,                   0,             0.24544,             0.30612,             0.19234,            0.055684,             0.07173,            0.032368,                   0,           0.0061955,           0.0051955,           0.0051955
                  25,            0.072783,            0.047899,                   0,             0.17538,             0.32653,             0.18661,             0.04845,            0.070359,            0.030317,                   0,             0.00505,             0.00505,             0.00505
                  26,            0.069376,            0.043058,                   0,             0.30302,             0.22449,             0.21565,            0.057678,            0.072413,            0.028502,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.067302,            0.045417,                   0,             0.24471,             0.40816,             0.22701,            0.072282,            0.068461,            0.025681,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.065985,            0.045231,                   0,             0.31719,             0.32653,             0.24461,            0.066742,            0.067452,            0.024588,                   0,            0.004654,            0.004654,            0.004654
